card_name,card_number,ungraded,grade_9,psa_10,detail_url
Umbreon ex,161,"$1,164.04","$1,212.50","$3,075.00",https://www.pricecharting.com/game/pokemon-prismatic-evolutions/umbreon-ex-161
Sylveon ex,156,$410.99,$410.50,"$1,010.71",https://www.pricecharting.com/game/pokemon-prismatic-evolutions/sylveon-ex-156
Umbreon [Master Ball],59,$137.29,$161.25,$642.93,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/umbreon-master-ball-59
Pikachu ex,179,$67.60,$86.45,$298.00,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/pikachu-ex-179
Leafeon ex,144,$349.69,$342.10,$783.01,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/leafeon-ex-144
Espeon ex,155,$350.00,$340.00,$846.00,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/espeon-ex-155
Umbreon ex,60,$7.68,$70.00,$77.23,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/umbreon-ex-60
Eevee ex,167,$209.65,$189.54,$757.83,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/eevee-ex-167
Glaceon ex,150,$280.15,$308.57,$758.82,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/glaceon-ex-150
Elite Trainer Box,,$132.50,,,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/elite-trainer-box
Vaporeon ex,149,$305.00,$295.50,"$1,163.55",https://www.pricecharting.com/game/pokemon-prismatic-evolutions/vaporeon-ex-149
Umbreon,59,$2.19,$173.00,$208.00,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/umbreon-59
Flareon ex,146,$238.93,$277.50,$796.64,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/flareon-ex-146
Jolteon ex,153,$246.60,$267.75,$657.56,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/jolteon-ex-153
Roaring Moon ex,162,$235.00,$294.00,$851.87,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/roaring-moon-ex-162
Ceruledge ex,147,$196.50,$190.51,$745.00,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/ceruledge-ex-147
Umbreon [Poke Ball],59,$12.00,$16.75,$87.70,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/umbreon-poke-ball-59
Eevee ex,75,$8.25,$24.85,$64.99,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/eevee-ex-75
Flareon ex,14,$10.50,$20.43,$55.37,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/flareon-ex-14
Jolteon ex,30,$6.00,$22.81,$45.90,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/jolteon-ex-30
Eevee [Master Ball],74,$24.82,$27.88,$136.00,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/eevee-master-ball-74
Dragapult ex,165,$147.50,$165.00,$382.63,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/dragapult-ex-165
Espeon ex,34,$5.00,$18.31,$64.66,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/espeon-ex-34
Friends in Paldea,137,$4.60,$24.51,$100.85,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/friends-in-paldea-137
Raging Bolt ex,166,$117.29,$129.43,$464.25,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/raging-bolt-ex-166
Elite Trainer Box [Pokemon Center],,$349.39,,,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/elite-trainer-box-pokemon-center
Sylveon ex,41,$4.00,$20.50,$46.36,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/sylveon-ex-41
